evolution$generation,humanInformedRatio,humanInformProbability,humanFollowProbability,distance,evolution$samples
8000,0.5089263187880431,0.07279529645350728,0.03145923975772683,7.659999999999997,100
8000,0.9667362477526076,0.024269259266421477,0.143743265457068,0.6599999999999966,1
8000,0.06098951737481976,0.4978974980096044,0.3253916750404039,0.6599999999999966,1
8000,0.07823945942917601,0.6885644413036696,0.5723767958091837,1.6599999999999966,3
8000,0.2920928733280116,0.05053205715935296,0.8151006320499212,7.039999999999992,39
8000,0.4909630484572311,0.07333258751821779,0.014823225184174556,3.6500000000000057,6
8000,1.0,0.029533304227334297,0.1164371646687011,6.039999999999992,19
8000,0.5143653297559806,0.0716218917164693,0.0120939163718206,5.0,10
8000,0.08741796254036391,0.3130518096382697,0.8117590566904044,0.8100000000000023,2
8000,0.08243099285094742,0.3549440477786616,0.42138854402782383,0.6599999999999966,1
8000,0.12656821825774947,0.5122150966668313,0.2589797036580411,0.6599999999999966,1
8000,0.041831252521925,0.5173076274258399,0.24579884997199705,1.6599999999999966,3
8000,0.9860298916061565,0.04136248737033758,0.19710028320482986,0.6599999999999966,1
8000,0.3745757598980026,0.031069095867720966,0.7417452542040522,0.6599999999999966,1
8000,0.26730440910001996,0.11338352820305651,0.16612295306311342,1.6599999999999966,3
8000,0.036907279256896804,0.2767908482614937,0.2738471945248211,0.6599999999999966,1
8000,0.5055820160643738,0.03396659620487608,0.5565437659181474,0.6599999999999966,1
8000,0.08693576507153461,0.37244564223605064,0.17987506541157622,0.6599999999999966,1
8000,0.5344942483860358,0.03215564546326794,0.268440975422772,0.6599999999999966,1
8000,0.26041802396491576,0.09161405887135374,0.2950920551221138,1.6599999999999966,3
8000,0.11029666560403956,0.314316116217196,0.3605344204457456,0.6599999999999966,1
8000,0.698852597061853,0.029391961789354985,0.06400541779898242,0.6599999999999966,1
8000,0.3317412184765585,0.04538077078457078,0.98960180859537,0.6599999999999966,1
8000,0.23613568473784555,0.383629220108739,0.2070752403565387,0.6599999999999966,1
8000,0.07276171192838826,0.5153462151711736,0.32561778776544703,0.6599999999999966,1
8000,0.7266689509249104,0.022543119038090517,0.44688127861452115,0.6599999999999966,1
8000,0.724716292444376,0.02273882981232174,0.4497714182038058,0.6599999999999966,1
8000,0.9587680716781243,0.034122894139006585,0.5243454151609558,0.6599999999999966,1
8000,0.40488281347007127,0.05325586001449884,0.7027944964399753,0.6599999999999966,1
8000,0.061505171144120276,0.3771723749827223,0.17817542034170913,0.6599999999999966,1
8000,0.09246545956626366,0.3707578111415331,0.2028782044781429,0.6599999999999966,1
8000,0.8874390651529929,0.036155699134974566,0.047822790786623694,0.6599999999999966,1
8000,0.06679562856323269,0.39118023943183283,0.16349718181192752,0.6599999999999966,1
8000,0.2517424720920008,0.08513324416258307,0.02109927667952648,0.6599999999999966,1
