evolution$generation,randomDensity,expMixtureCenters,expMixtureRadius,expMixtureThreshold,blocksNumber,blocksMinSize,blocksMaxSize,percolationProba,percolationBordPoints,percolationLinkWidth,oppFinalHumans,finalZombies,evolution$samples
5000,1.0,8.65240841897558,6.642316472392228,0.6727391710885655,14.518334766834185,6.712238629196079,29.991857329850326,0.5621839667626782,13.217250800887271,3.3747828553877075,0.0,250.0,65
5000,0.6406596932166566,5.977151197854698,14.96396619952434,0.19263160323740305,6.6595989452266515,1.0,22.62516200945631,0.3674433017365206,11.206692535901732,5.0,-15.0,236.0,1
5000,1.0,4.142649616533898,6.450974869989085,0.6266636884798672,1.0,7.8549460649905525,14.825550837639026,0.37657728795439704,4.936694544043622,4.589994685595389,-1.0,250.5,8
5000,0.3731468299805453,10.0,19.051000377507798,0.3079106418149188,10.650605357348475,3.66918809826077,19.37589796410608,0.5098089882045941,2.7018550258381593,5.0,-3.0,247.0,2
5000,0.9792525894132773,4.056388180654737,6.399880902217177,0.5842590518247245,1.0,7.868993388656856,14.35118175920689,0.3643455340648061,4.242923927595034,4.690263691972309,-0.5,247.5,4
5000,0.6521573051620463,3.777539823339944,1.0,0.7908288347890744,1.0,8.919240738488249,12.945009163352069,0.10822072266460701,12.58273983438768,5.0,0.0,248.0,17
5000,0.28828150224037125,7.596811807911274,20.0,0.3407031165547575,1.8848925608320644,9.610106917773477,14.895778477375167,0.87107917841509,1.6386694305082135,3.838583035164673,0.0,249.5,38
5000,0.29977390128476994,3.101426879163163,9.46308273620932,0.8173162104686426,4.48295480988792,6.879685441569727,2.0,0.9,5.228593314768574,4.173176262130424,0.0,249.0,34
5000,0.4401855226904156,5.250099048036188,8.666869236028226,0.6938127465473428,8.402027293513033,8.924151820290632,8.422241785743651,0.629863359288046,5.155896620432307,4.585692267853625,-1.0,249.0,4
5000,0.23245460164195572,1.4996422979042476,4.1794478270602715,1.0,5.946869105521178,9.417065330037,4.351829178867366,0.9,6.344159682331815,3.8952060539080433,-1.0,250.0,7
5000,0.1190194264617115,9.588270794732741,10.952598030603866,1.0,16.424609279602855,3.935507256683904,15.358576456704604,0.1,7.358210127547869,4.202772439358748,0.0,247.0,7
5000,0.6109410601517945,5.6167375976639935,13.155568540180672,0.43027403151320526,10.8178349088916,4.638868531095955,16.334806770124406,0.2007599831367748,13.439924842920794,2.438424249084165,0.0,246.0,3
