rescuedDynamic0,rescuedDynamic1,rescuedDynamic2,rescuedDynamic3,rescuedDynamic4,rescuedDynamic5,rescuedDynamic6,rescuedDynamic7,rescuedDynamic8,rescuedDynamic9,rescuedDynamic10,rescuedDynamic11,rescuedDynamic12,rescuedDynamic13,rescuedDynamic14,rescuedDynamic15,rescuedDynamic16,rescuedDynamic17,rescuedDynamic18,rescuedDynamic19,rescuedDynamic20,rescuedDynamic21,rescuedDynamic22,rescuedDynamic23,rescuedDynamic24,rescuedDynamic25
20,63,60,21,11,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,45,32,18,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,58,63,37,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,66,55,35,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,44,30,30,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,52,57,13,7,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,74,33,18,10,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,51,41,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,36,42,27,9,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,54,63,38,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,24,16,6,5,4,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17,76,48,40,20,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,48,28,18,14,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,54,44,41,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,60,46,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,71,53,20,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,54,37,23,13,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,47,53,37,16,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,35,56,34,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,26,12,17,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,82,52,32,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,47,20,22,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,73,46,21,7,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,62,52,38,13,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,77,44,32,10,10,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,75,49,37,20,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,51,50,30,13,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,57,39,31,14,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,71,43,18,17,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
