evolution$generation,generatorType,randomDensity,expMixtureCenters,expMixtureRadius,expMixtureThreshold,blocksNumber,blocksMinSize,blocksMaxSize,percolationProba,percolationBordPoints,percolationLinkWidth,oppFinalHumans,finalZombies,evolution$samples
54700,random,0.7826134478937836,2.2071771993605607,20.0,0.7849685577461571,16.16995779978781,4.04057223079847,20.189408932937432,0.8893830397141954,18.57615350760336,4.725942896854914,-231.0,6.0,1
54700,blocks,0.7852365981882654,4.803024548556559,6.762763139542851,0.7797771733264838,18.501776204028022,7.533650760057913,14.479881677758113,0.8913466109137993,13.008936349192515,5.0,-15.0,4.0,3
54700,blocks,0.7775945536180761,1.6089432642469523,17.176634001815422,0.9796127998522948,16.517555491696193,4.729108142708967,21.58199646724752,0.8609981191492522,18.220117969532836,4.923628360628788,-5.5,4.5,6
54700,random,0.7858127742372818,7.809029912500821,1.0,0.1560150155309653,19.5331168427834,6.8762467664801274,30.0,0.8378176100576885,18.419130521655315,1.8276507695878135,-212.0,5.5,2
54700,random,0.7911810950821656,8.035453931467025,5.901278897695341,0.0713545045603715,14.862674843183017,3.0221123210409324,12.055215001221415,0.6654386007675794,20.0,3.8876026272396156,-210.0,12.0,11
54700,random,0.782802663647076,7.112474172077538,12.929050640023814,0.11076642826528514,12.249499617724323,7.822564872605504,19.47112492642463,0.692070215572906,18.949189693124048,3.010293619157223,-201.0,16.0,69
54700,blocks,0.7839634059517846,7.086880030039314,16.95196375309532,0.016410363406025807,17.7130446803149,8.128901373784494,15.643414884600508,0.8454454067564136,15.934586172572255,2.189138091532543,-22.5,4.5,2
54700,random,0.782994926138274,9.948775140450103,14.892702838375802,0.34894435516785954,19.202392269935654,7.857899709422569,2.0,0.8133240091537143,19.739506315589963,1.6069813247417046,-219.5,7.5,2
54700,random,0.7812155224525266,7.177462865051577,20.0,0.0693647900482253,11.994274872968713,9.373033808664454,19.45768422356626,0.6474423776849352,19.412388428107246,3.2875263694807826,-213.0,0.0,1
54700,random,0.7848437757737967,9.419854699425485,7.121227275860474,0.0,15.99124829851406,2.4181721570066896,8.562973624481067,0.7863794052062962,11.1767817395735,1.0,-197.5,13.5,36
