seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
-4616180927322446075,1000,250,4,20,4,0.95,0.6,1.0,164,18,2,144,86,3438,0,155,11205,85
9192040939254911621,1000,250,4,20,4,0.95,0.6,1.0,106,18,2,86,144,1696,0,102,5837,68
-835559204933011911,1000,250,4,20,4,0.95,0.6,1.0,89,18,2,69,161,1422,0,86,6016,74
2554839948796016238,1000,250,4,20,4,0.95,0.6,1.0,127,17,3,107,123,2272,0,120,8358,63
5151467517428840098,1000,250,4,20,4,0.95,0.6,1.0,124,17,3,104,126,2803,0,120,9638,91
-6389720240967300125,1000,250,4,20,4,0.95,0.6,1.0,100,19,1,80,150,2238,0,80,8935,85
6923783876375458883,1000,250,4,20,4,0.95,0.6,1.0,66,17,3,46,184,809,0,58,4439,99
600048357988739563,1000,250,4,20,4,0.95,0.6,1.0,131,15,5,111,119,2248,0,117,10872,71
-4655840585235757993,1000,250,4,20,4,0.95,0.6,1.0,49,19,1,29,201,717,0,46,4334,77
-4378781820335373834,1000,250,4,20,4,0.95,0.6,1.0,170,18,2,150,80,3052,0,155,12535,67
5512991565731654645,1000,250,4,20,4,0.95,0.6,1.0,61,17,3,41,189,954,0,44,4137,77
-6839236581974329763,1000,250,4,20,4,0.95,0.6,1.0,106,16,4,86,144,1774,0,102,9911,72
3025028654122330305,1000,250,4,20,4,0.95,0.6,1.0,62,18,2,42,188,866,0,56,3966,80
7314004380384493520,1000,250,4,20,4,0.95,0.6,1.0,138,16,4,118,112,2407,0,137,8870,90
5694302655382293564,1000,250,4,20,4,0.95,0.6,1.0,75,18,2,55,175,1096,0,77,4394,66
8144036593661037358,1000,250,4,20,4,0.95,0.6,1.0,92,20,0,72,158,1248,0,80,5877,105
-5783508507543310772,1000,250,4,20,4,0.95,0.6,1.0,140,14,6,120,110,2340,0,135,7130,64
6082735556816514549,1000,250,4,20,4,0.95,0.6,1.0,166,19,1,146,84,3833,0,152,12186,97
6793912661490313902,1000,250,4,20,4,0.95,0.6,1.0,127,12,8,107,123,2062,0,127,9549,63
2543163541363583218,1000,250,4,20,4,0.95,0.6,1.0,63,18,2,43,187,1135,0,54,5373,92
-8615742880716460733,1000,250,4,20,4,0.95,0.6,1.0,76,17,3,56,174,1566,0,72,4652,83
-223995268726581831,1000,250,4,20,4,0.95,0.6,1.0,111,15,5,91,139,2082,0,104,8294,83
8542381083867081982,1000,250,4,20,4,0.95,0.6,1.0,145,12,8,125,105,2209,0,139,9118,53
4968902015177317266,1000,250,4,20,4,0.95,0.6,1.0,183,14,6,163,67,3334,0,180,11587,91
8863685413650107839,1000,250,4,20,4,0.95,0.6,1.0,67,18,2,47,183,1427,0,62,6907,99
7202454634772596617,1000,250,4,20,4,0.95,0.6,1.0,73,17,3,53,177,1499,0,62,6984,79
2563665663044756205,1000,250,4,20,4,0.95,0.6,1.0,90,19,1,70,160,1331,0,86,5521,65
-6229095250421898588,1000,250,4,20,4,0.95,0.6,1.0,152,15,5,132,98,3103,0,142,9960,65
-2072861033668741301,1000,250,4,20,4,0.95,0.6,1.0,47,18,2,27,203,697,0,43,3119,102
7259835735527459108,1000,250,4,20,4,0.95,0.6,1.0,145,17,3,125,105,2975,0,139,10526,78
-1533285617368948215,1000,250,4,20,4,0.95,0.6,1.0,143,16,4,123,107,2473,0,138,9334,54
1617777360167560257,1000,250,4,20,4,0.95,0.6,1.0,98,16,4,78,152,1591,0,81,6986,76
-3748365634571603431,1000,250,4,20,4,0.95,0.6,1.0,98,20,0,78,152,1429,0,86,7226,88
9014474102556918929,1000,250,4,20,4,0.95,0.6,1.0,73,14,6,53,177,956,0,74,4663,72
-4230381936363903157,1000,250,4,20,4,0.95,0.6,1.0,49,17,3,29,201,592,0,50,3300,91
-1087495698916926545,1000,250,4,20,4,0.95,0.6,1.0,93,17,3,73,157,1735,0,85,8076,94
1637575123668595438,1000,250,4,20,4,0.95,0.6,1.0,106,19,1,86,144,1676,0,88,9519,63
2057898555723600400,1000,250,4,20,4,0.95,0.6,1.0,158,15,5,138,92,2532,0,146,11104,87
-775675388502363283,1000,250,4,20,4,0.95,0.6,1.0,45,19,1,25,205,811,0,35,3102,82
1488494504567920975,1000,250,4,20,4,0.95,0.6,1.0,93,16,4,73,157,1557,0,88,6649,64
3711291038567544525,1000,250,4,20,4,0.95,0.6,1.0,67,17,3,47,183,946,0,58,4257,77
-1015378160673826480,1000,250,4,20,4,0.95,0.6,1.0,96,17,3,76,154,1582,0,82,6877,69
960553892381250918,1000,250,4,20,4,0.95,0.6,1.0,139,16,4,119,111,2801,0,136,9320,78
-7127564047205232196,1000,250,4,20,4,0.95,0.6,1.0,105,15,5,85,145,2005,0,104,6891,56
5328690938496184004,1000,250,4,20,4,0.95,0.6,1.0,101,13,7,81,149,1762,0,98,5886,70
-5551641622953053541,1000,250,4,20,4,0.95,0.6,1.0,97,18,2,77,153,1626,0,94,8591,74
-3486930465550405065,1000,250,4,20,4,0.95,0.6,1.0,66,19,1,46,184,900,0,53,4467,62
-7828206100729850972,1000,250,4,20,4,0.95,0.6,1.0,109,18,2,89,141,1490,0,105,5221,76
4075255692748527340,1000,250,4,20,4,0.95,0.6,1.0,69,19,1,49,181,1043,0,61,4499,81
5698009555776850203,1000,250,4,20,4,0.95,0.6,1.0,95,18,2,75,155,1230,0,83,5264,64
-2459100933308661413,1000,250,4,20,4,0.95,0.6,1.0,163,12,8,143,87,2587,0,147,14302,62
6367462268742174274,1000,250,4,20,4,0.95,0.6,1.0,114,18,2,94,136,2020,0,112,9614,66
-6052268151604267502,1000,250,4,20,4,0.95,0.6,1.0,157,16,4,137,93,3110,0,147,10185,62
-4810091715664592373,1000,250,4,20,4,0.95,0.6,1.0,106,15,5,86,144,1487,0,105,8468,66
8868330102735942337,1000,250,4,20,4,0.95,0.6,1.0,70,17,3,50,180,1158,0,59,5917,71
5952546280062227831,1000,250,4,20,4,0.95,0.6,1.0,82,17,3,62,168,1668,0,73,5745,82
-3611096407133738349,1000,250,4,20,4,0.95,0.6,1.0,111,19,1,91,139,2250,0,103,8832,73
-204660334303142267,1000,250,4,20,4,0.95,0.6,1.0,67,16,4,47,183,1087,0,59,5332,69
3650640510535114552,1000,250,4,20,4,0.95,0.6,1.0,50,18,2,30,200,802,0,46,3234,73
-4513641971785523496,1000,250,4,20,4,0.95,0.6,1.0,47,19,1,27,203,567,0,43,3200,70
-8597427223951077001,1000,250,4,20,4,0.95,0.6,1.0,132,19,1,112,118,2374,0,118,11796,146
-8429672545205718699,1000,250,4,20,4,0.95,0.6,1.0,49,18,2,29,201,698,0,42,5122,91
-5637187196367640843,1000,250,4,20,4,0.95,0.6,1.0,102,18,2,82,148,1889,0,90,8945,85
-7315277332933755584,1000,250,4,20,4,0.95,0.6,1.0,87,17,3,67,163,1434,0,84,6823,78
-9047485529112101812,1000,250,4,20,4,0.95,0.6,1.0,135,12,8,115,115,2294,0,135,8008,78
-4300670925925584685,1000,250,4,20,4,0.95,0.6,1.0,92,19,1,72,158,1845,0,73,8570,92
-42212750312621405,1000,250,4,20,4,0.95,0.6,1.0,147,18,2,127,103,2518,0,139,12357,57
-304104727988547198,1000,250,4,20,4,0.95,0.6,1.0,51,16,4,31,199,742,0,49,3898,77
2531651224955328230,1000,250,4,20,4,0.95,0.6,1.0,55,16,4,35,195,956,0,48,4499,81
6156460835693757990,1000,250,4,20,4,0.95,0.6,1.0,116,11,9,96,134,2092,0,110,9244,57
3185055657800171142,1000,250,4,20,4,0.95,0.6,1.0,121,15,5,101,129,1895,0,116,11154,52
-5766776636673290565,1000,250,4,20,4,0.95,0.6,1.0,166,13,7,146,84,3223,0,157,10269,68
-7849143081872892271,1000,250,4,20,4,0.95,0.6,1.0,48,17,3,28,202,815,0,37,3515,79
-5822338241512645734,1000,250,4,20,4,0.95,0.6,1.0,96,13,7,76,154,1515,0,93,6622,88
8933603075280229274,1000,250,4,20,4,0.95,0.6,1.0,119,16,4,99,131,1934,0,108,8565,82
8858617617576605114,1000,250,4,20,4,0.95,0.6,1.0,77,14,6,57,173,1123,0,64,7106,102
-5756932079649889365,1000,250,4,20,4,0.95,0.6,1.0,82,17,3,62,168,1415,0,81,6460,70
-7555151107707512698,1000,250,4,20,4,0.95,0.6,1.0,39,19,1,19,211,698,0,38,3069,88
7800117943797386231,1000,250,4,20,4,0.95,0.6,1.0,54,15,5,34,196,631,0,52,3040,97
-2914146831823840760,1000,250,4,20,4,0.95,0.6,1.0,180,17,3,160,70,3759,0,177,14644,68
-1395509898396239846,1000,250,4,20,4,0.95,0.6,1.0,138,18,2,118,112,2547,0,135,7830,66
-5322896350562847826,1000,250,4,20,4,0.95,0.6,1.0,85,17,3,65,165,1415,0,77,6381,80
6452347821519813369,1000,250,4,20,4,0.95,0.6,1.0,56,17,3,36,194,781,0,53,4838,89
3139796735675585155,1000,250,4,20,4,0.95,0.6,1.0,167,14,6,147,83,2904,0,166,12488,38
6210983362258675943,1000,250,4,20,4,0.95,0.6,1.0,152,18,2,132,98,3091,0,138,11551,100
-5064870656988745001,1000,250,4,20,4,0.95,0.6,1.0,117,15,5,97,133,2460,0,100,8261,79
5438795253030165969,1000,250,4,20,4,0.95,0.6,1.0,67,20,0,47,183,922,0,64,3191,79
-6382738309314324838,1000,250,4,20,4,0.95,0.6,1.0,155,13,7,135,95,2934,0,143,15828,82
914028382349850015,1000,250,4,20,4,0.95,0.6,1.0,64,18,2,44,186,857,0,62,5393,73
