seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
8553239765881694833,1000,250,4,20,4,1.0,0.6,1.0,59,0,3,56,174,1229,17,0,7963,77
-7334885742029205874,1000,250,4,20,4,1.0,0.6,1.0,31,0,0,31,199,748,20,0,5140,82
2773543666003021401,1000,250,4,20,4,1.0,0.6,1.0,37,0,2,35,195,875,18,0,6350,88
312932431028445867,1000,250,4,20,4,1.0,0.6,1.0,88,0,2,86,144,1856,18,0,12249,98
4872143735276535163,1000,250,4,20,4,1.0,0.6,1.0,43,0,1,42,188,1652,19,0,6175,92
-3800828610286551253,1000,250,4,20,4,1.0,0.6,1.0,71,0,4,67,163,2035,16,2,11512,85
-3165894100679063992,1000,250,4,20,4,1.0,0.6,1.0,44,0,2,42,188,1148,18,0,7769,88
3099785436434056605,1000,250,4,20,4,1.0,0.6,1.0,68,0,3,65,165,1943,17,0,8938,107
-2479577546818634442,1000,250,4,20,4,1.0,0.6,1.0,93,0,6,87,143,2063,14,0,11647,82
-6964891619621940765,1000,250,4,20,4,1.0,0.6,1.0,14,0,3,11,219,637,17,0,2302,116
360613907594876206,1000,250,4,20,4,1.0,0.6,1.0,40,0,3,37,193,1724,17,0,6222,67
-7814438166138251255,1000,250,4,20,4,1.0,0.6,1.0,54,0,4,50,180,1133,16,0,7293,109
-4064181157167351600,1000,250,4,20,4,1.0,0.6,1.0,63,0,6,57,173,1539,14,0,12776,70
1354435189374125161,1000,250,4,20,4,1.0,0.6,1.0,27,0,2,25,205,846,18,0,3747,79
-4794175930372300899,1000,250,4,20,4,1.0,0.6,1.0,34,0,4,30,200,559,16,0,7088,114
6710945238481289372,1000,250,4,20,4,1.0,0.6,1.0,38,0,2,36,194,2449,18,0,5031,115
