seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
8252262000673144017,1000,250,4,0,4,1.0,0.6,1.0,108,0,0,108,142,2139,0,110,9863,73
-7383744418462163398,1000,250,4,0,4,1.0,0.6,1.0,96,0,0,96,154,1856,0,97,6045,89
5897487511596624013,1000,250,4,0,4,1.0,0.6,1.0,157,0,0,157,93,2928,0,160,9700,67
-5841679877307781851,1000,250,4,0,4,1.0,0.6,1.0,85,0,0,85,165,1712,0,87,4950,72
1178175621079497982,1000,250,4,0,4,1.0,0.6,1.0,126,0,0,126,124,2564,0,125,9213,83
-3884641263932297759,1000,250,4,0,4,1.0,0.6,1.0,55,0,0,55,195,903,0,59,3045,72
-3900128482602639661,1000,250,4,0,4,1.0,0.6,1.0,167,0,0,167,83,3043,0,164,11739,68
-1508253571485805617,1000,250,4,0,4,1.0,0.6,1.0,156,0,0,156,94,2899,0,154,10637,67
-2403644336719056034,1000,250,4,0,4,1.0,0.6,1.0,70,0,0,70,180,1196,0,72,4984,93
-7460915829603876219,1000,250,4,0,4,1.0,0.6,1.0,119,0,0,119,131,2122,0,122,9463,79
9189561111302689446,1000,250,4,0,4,1.0,0.6,1.0,117,0,0,117,133,2136,0,121,8063,68
9070053098893298136,1000,250,4,0,4,1.0,0.6,1.0,138,0,0,138,112,2705,0,142,9969,72
-3560209145358687975,1000,250,4,0,4,1.0,0.6,1.0,96,0,0,96,154,1969,0,99,6369,61
2866210486111423786,1000,250,4,0,4,1.0,0.6,1.0,120,0,0,120,130,2492,0,124,6961,69
7439956677548437703,1000,250,4,0,4,1.0,0.6,1.0,100,0,0,100,150,1972,0,100,7641,99
4740790583834439198,1000,250,4,0,4,1.0,0.6,1.0,80,0,0,80,170,1524,0,84,6692,89
3244345717497958182,1000,250,4,0,4,1.0,0.6,1.0,110,0,0,110,140,2189,0,114,9114,54
-5471820255262058975,1000,250,4,0,4,1.0,0.6,1.0,114,0,0,114,136,2164,0,116,9220,76
2891902859404599753,1000,250,4,0,4,1.0,0.6,1.0,76,0,0,76,174,1289,0,79,5773,55
-6791597324439038158,1000,250,4,0,4,1.0,0.6,1.0,57,0,0,57,193,1117,0,58,3865,67
-7465133129551801333,1000,250,4,0,4,1.0,0.6,1.0,73,0,0,73,177,1253,0,77,4644,67
-1798433959224477613,1000,250,4,0,4,1.0,0.6,1.0,62,0,0,62,188,1095,0,65,4133,78
-8507897355430227069,1000,250,4,0,4,1.0,0.6,1.0,55,0,0,55,195,1185,0,59,5195,86
-1508864402220235295,1000,250,4,0,4,1.0,0.6,1.0,73,0,0,73,177,1537,0,75,4566,65
1607577543139856690,1000,250,4,0,4,1.0,0.6,1.0,89,0,0,89,161,1655,0,90,7223,92
-863714407314572117,1000,250,4,0,4,1.0,0.6,1.0,81,0,0,81,169,1738,0,85,6175,80
4575922610265152954,1000,250,4,0,4,1.0,0.6,1.0,83,0,0,83,167,1237,0,84,4300,87
4370840273781883336,1000,250,4,0,4,1.0,0.6,1.0,98,0,0,98,152,1648,0,102,6034,80
4090160015197909921,1000,250,4,0,4,1.0,0.6,1.0,164,0,0,164,86,3248,0,162,14118,57
5664615364290395846,1000,250,4,0,4,1.0,0.6,1.0,127,0,0,127,123,2342,0,130,6829,62
-5944097267030086299,1000,250,4,0,4,1.0,0.6,1.0,144,0,0,144,106,2426,0,144,11107,79
-8277283829678213717,1000,250,4,0,4,1.0,0.6,1.0,160,0,0,160,90,3127,0,162,10767,54
-8440532685518368870,1000,250,4,0,4,1.0,0.6,1.0,58,0,0,58,192,956,0,62,3448,76
7328702799480581212,1000,250,4,0,4,1.0,0.6,1.0,133,0,0,133,117,2402,0,134,7868,65
2046826666274102560,1000,250,4,0,4,1.0,0.6,1.0,68,0,0,68,182,1350,0,69,4857,76
2299895900756460209,1000,250,4,0,4,1.0,0.6,1.0,131,0,0,131,119,2500,0,134,9636,69
-6056761922377639188,1000,250,4,0,4,1.0,0.6,1.0,135,0,0,135,115,3352,0,137,11448,72
-6871531351819603234,1000,250,4,0,4,1.0,0.6,1.0,112,0,0,112,138,2046,0,116,6365,59
-8013991979493513478,1000,250,4,0,4,1.0,0.6,1.0,148,0,0,148,102,2732,0,149,8645,49
-5497864372360524855,1000,250,4,0,4,1.0,0.6,1.0,112,0,0,112,138,2273,0,112,7317,53
1982665700560663120,1000,250,4,0,4,1.0,0.6,1.0,96,0,0,96,154,1940,0,98,6885,84
8554965910019174703,1000,250,4,0,4,1.0,0.6,1.0,117,0,0,117,133,2205,0,121,10248,113
8560736548158061534,1000,250,4,0,4,1.0,0.6,1.0,34,0,0,34,216,553,0,38,2300,61
7874787274541867925,1000,250,4,0,4,1.0,0.6,1.0,72,0,0,72,178,1545,0,76,6338,111
7422282268164003021,1000,250,4,0,4,1.0,0.6,1.0,109,0,0,109,141,2222,0,111,7803,83
-2945095680242975278,1000,250,4,0,4,1.0,0.6,1.0,112,0,0,112,138,2171,0,112,8475,64
4579555313825105430,1000,250,4,0,4,1.0,0.6,1.0,115,0,0,115,135,2251,0,117,6923,103
-3119143714175811799,1000,250,4,0,4,1.0,0.6,1.0,118,0,0,118,132,2439,0,119,6479,75
-2796544209279256640,1000,250,4,0,4,1.0,0.6,1.0,82,0,0,82,168,1508,0,85,5759,77
-7196950952444452814,1000,250,4,0,4,1.0,0.6,1.0,112,0,0,112,138,2439,0,116,8202,86
6561343042969282263,1000,250,4,0,4,1.0,0.6,1.0,124,0,0,124,126,2461,0,127,9076,71
-2224657132096672651,1000,250,4,0,4,1.0,0.6,1.0,72,0,0,72,178,1293,0,75,4983,75
842746209165386352,1000,250,4,0,4,1.0,0.6,1.0,117,0,0,117,133,2259,0,121,8649,85
7145325014212397501,1000,250,4,0,4,1.0,0.6,1.0,125,0,0,125,125,2477,0,126,8943,67
8711944550126873079,1000,250,4,0,4,1.0,0.6,1.0,67,0,0,67,183,1303,0,71,6184,72
-7506984979921221671,1000,250,4,0,4,1.0,0.6,1.0,141,0,0,141,109,2633,0,145,12856,66
6884131612578967052,1000,250,4,0,4,1.0,0.6,1.0,117,0,0,117,133,2336,0,119,8801,75
1304662747501954293,1000,250,4,0,4,1.0,0.6,1.0,65,0,0,65,185,1163,0,67,3775,74
5741162778393875726,1000,250,4,0,4,1.0,0.6,1.0,133,0,0,133,117,2692,0,136,8034,59
8502826319162970937,1000,250,4,0,4,1.0,0.6,1.0,65,0,0,65,185,1058,0,69,4421,63
-6083145370390378633,1000,250,4,0,4,1.0,0.6,1.0,71,0,0,71,179,1368,0,73,7886,65
-5065936086594494675,1000,250,4,0,4,1.0,0.6,1.0,76,0,0,76,174,1400,0,78,5699,76
-7308726146097590213,1000,250,4,0,4,1.0,0.6,1.0,43,0,0,43,207,719,0,47,4014,94
-195281891187673574,1000,250,4,0,4,1.0,0.6,1.0,83,0,0,83,167,1951,0,87,5864,68
8402605512008272804,1000,250,4,0,4,1.0,0.6,1.0,130,0,0,130,120,2547,0,131,10275,80
2437218527742302869,1000,250,4,0,4,1.0,0.6,1.0,136,0,0,136,114,2625,0,139,13941,57
-6865769958842300934,1000,250,4,0,4,1.0,0.6,1.0,83,0,0,83,167,2005,0,86,7156,69
2208830261294617211,1000,250,4,0,4,1.0,0.6,1.0,83,0,0,83,167,1540,0,86,7149,80
8201481696687876123,1000,250,4,0,4,1.0,0.6,1.0,160,0,0,160,90,3232,0,162,12304,60
1601882515856036081,1000,250,4,0,4,1.0,0.6,1.0,103,0,0,103,147,1693,0,105,5789,82
7536184687195418353,1000,250,4,0,4,1.0,0.6,1.0,84,0,0,84,166,1451,0,87,5468,74
8459484949037434506,1000,250,4,0,4,1.0,0.6,1.0,60,0,0,60,190,912,0,63,3271,67
4651160795398055973,1000,250,4,0,4,1.0,0.6,1.0,121,0,0,121,129,2360,0,123,7059,57
-24251110289774173,1000,250,4,0,4,1.0,0.6,1.0,128,0,0,128,122,2251,0,132,10169,75
2193090698025088065,1000,250,4,0,4,1.0,0.6,1.0,81,0,0,81,169,1428,0,84,6234,52
-4640421405895329455,1000,250,4,0,4,1.0,0.6,1.0,75,0,0,75,175,1444,0,79,6651,73
777360098913191714,1000,250,4,0,4,1.0,0.6,1.0,161,0,0,161,89,3091,0,159,10953,62
7668115176662956373,1000,250,4,0,4,1.0,0.6,1.0,90,0,0,90,160,1675,0,91,4692,84
65200181200733880,1000,250,4,0,4,1.0,0.6,1.0,107,0,0,107,143,1860,0,108,7557,123
127594499630644821,1000,250,4,0,4,1.0,0.6,1.0,132,0,0,132,118,2678,0,134,8832,84
-7581181697183936906,1000,250,4,0,4,1.0,0.6,1.0,86,0,0,86,164,1483,0,87,6006,70
443767685529574622,1000,250,4,0,4,1.0,0.6,1.0,115,0,0,115,135,2337,0,119,9347,75
-3328893958361123200,1000,250,4,0,4,1.0,0.6,1.0,100,0,0,100,150,1647,0,101,6729,59
-534128348682873257,1000,250,4,0,4,1.0,0.6,1.0,156,0,0,156,94,2820,0,158,13693,62
5259499518078728169,1000,250,4,0,4,1.0,0.6,1.0,140,0,0,140,110,2873,0,143,10592,108
3527427802949534884,1000,250,4,0,4,1.0,0.6,1.0,73,0,0,73,177,1240,0,76,4057,78
-9156557997119861314,1000,250,4,0,4,1.0,0.6,1.0,62,0,0,62,188,1174,0,66,4482,65
-2412218701444111145,1000,250,4,0,4,1.0,0.6,1.0,156,0,0,156,94,2543,0,158,8716,65
7684959822815348013,1000,250,4,0,4,1.0,0.6,1.0,93,0,0,93,157,1571,0,96,6862,70
-1750869298160762529,1000,250,4,0,4,1.0,0.6,1.0,61,0,0,61,189,1213,0,64,4083,94
-5837384126548809106,1000,250,4,0,4,1.0,0.6,1.0,91,0,0,91,159,1439,0,93,5769,61
