output,humanFollowProbability,humanInformedRatio,humanInformProbability
peakTime,1467.4826789841068,1469.7861465075591,1467.702973674993
output,humanFollowProbability,humanInformedRatio,humanInformProbability
peakSize,91.35301813054942,91.48584678828796,91.66677667638903
output,humanFollowProbability,humanInformedRatio,humanInformProbability
totalZombified,974.9971747273152,974.851329084052,987.6132215545902
output,humanFollowProbability,humanInformedRatio,humanInformProbability
halfZombified,1030.4876698262426,1029.5603437319928,1034.691020757324
output,humanFollowProbability,humanInformedRatio,humanInformProbability
spatialMoranZombified,0.30032895234889007,0.3004157576427338,0.3000946870309005
output,humanFollowProbability,humanInformedRatio,humanInformProbability
spatialDistanceMeanZombified,2.3421352640678252,2.3351203255367565,2.337696812320573
output,humanFollowProbability,humanInformedRatio,humanInformProbability
spatialEntropyZombified,1.4357397935536853,1.4363545442986356,1.446465253162209
output,humanFollowProbability,humanInformedRatio,humanInformProbability
spatialSlopeZombified,2.3238082500712753,NaN,2.334683619639742
