seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,250,4,0,0,0,0,0,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,250,4,0,0,0,39,36,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,248,6,0,0,2,37,49,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,241,8,5,0,2,42,69,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,221,8,20,0,0,33,78,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,203,11,15,0,3,106,91,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,175,17,22,0,6,96,140,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,152,23,16,1,7,97,203,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,140,25,9,1,3,51,234,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,125,28,12,0,3,68,251,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,104,32,17,0,4,32,261,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,94,32,10,0,0,46,275,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,74,37,15,0,5,40,278,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,56,38,17,0,1,41,187,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,42,38,14,0,0,27,220,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,29,39,12,0,1,32,338,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,23,41,4,0,2,19,250,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,18,42,4,0,1,16,65,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,12,43,4,1,2,9,68,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,10,44,1,0,1,5,58,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,10,44,0,0,0,3,66,0,0
2892491459247248429,1000,250,4,0,4,1.0,0.6,1.0,51,0,0,51,199,1030,0,51,4127,90,10,44,0,0,0,5,10,0,0
