seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,250,4,0,0,0,0,0,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,249,5,0,0,1,38,45,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,242,6,6,0,1,28,51,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,226,13,9,0,7,86,85,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,216,21,2,0,8,207,164,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,201,27,9,0,6,169,244,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,178,30,18,2,5,156,263,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,160,31,16,1,2,132,301,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,128,34,28,1,4,81,327,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,103,31,24,4,1,45,320,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,87,30,16,1,0,35,300,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,67,32,17,1,3,22,279,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,52,30,15,2,0,22,266,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,43,27,9,3,0,12,241,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,42,27,1,0,0,23,226,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,39,25,3,2,0,20,210,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,32,23,7,2,0,13,197,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,29,21,3,2,0,9,197,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,27,19,2,2,0,6,163,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,26,16,1,3,0,4,144,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,25,12,1,4,0,0,132,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,24,11,1,1,0,2,101,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,22,10,2,1,0,1,84,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,20,8,2,2,0,4,72,0,0
6001038802198987215,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1115,17,0,5031,84,18,7,2,1,0,0,62,0,0
