seedArray,stepsArray,humanSizeArray,zombiesSizeArray,redCrossSizeArray,redCrossActivationDelayArray,redCrossEfficiencyProbabilityArray,redCrossExhaustionProbabilityArray,redCrossInformProbabilityArray,humansDynamicArray
12,1000,220,4,15,4,1.0,0.6,1.0,"[220, 219, 219, 217, 195, 181, 165, 153, 138, 108, 90, 75, 64, 56, 52, 49, 47, 45, 45, 43, 42, 40, 39, 39, 39, 38, 36, 36, 30, 28, 27, 25, 25, 24, 23, 23, 23, 22, 21, 20, 20, 19, 19, 19, 18, 17, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
13,1000,225,6,20,4,1.0,0.6,1.0,"[225, 219, 217, 205, 188, 178, 153, 138, 118, 100, 82, 70, 63, 57, 53, 47, 37, 35, 29, 27, 23, 22, 22, 22, 22, 22, 20, 20, 20, 20, 19, 18, 18, 18, 18, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
14,1000,228,2,17,4,1.0,0.6,1.0,"[228, 226, 223, 222, 221, 217, 210, 206, 200, 199, 194, 189, 183, 177, 172, 164, 164, 158, 157, 148, 127, 104, 89, 79, 61, 50, 43, 33, 32, 30, 24, 21, 19, 18, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
15,1000,230,2,12,4,1.0,0.6,1.0,"[230, 229, 229, 227, 221, 203, 186, 171, 162, 138, 111, 81, 67, 54, 45, 36, 32, 29, 27, 23, 23, 20, 19, 18, 16, 16, 16, 16, 15, 14, 14, 14, 14, 14, 14, 14, 13, 13, 12, 12, 12, 12, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
16,1000,234,1,10,4,1.0,0.6,1.0,"[234, 233, 231, 227, 225, 216, 206, 204, 193, 185, 170, 161, 136, 122, 96, 73, 56, 52, 45, 41, 33, 31, 28, 26, 23, 23, 23, 18, 18, 18, 17, 16, 15, 15, 14, 12, 12, 12, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
17,1000,235,3,18,4,1.0,0.6,1.0,"[235, 234, 231, 228, 216, 190, 155, 122, 100, 84, 69, 55, 44, 41, 39, 39, 39, 38, 35, 35, 35, 34, 33, 32, 32, 32, 31, 31, 30, 30, 29, 29, 28, 28, 27, 26, 24, 24, 24, 24, 24, 24, 24, 23, 23, 23, 23, 22, 22, 22, 22, 20, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
18,1000,240,5,10,4,1.0,0.6,1.0,"[240, 238, 237, 234, 229, 218, 204, 191, 179, 168, 160, 146, 140, 137, 130, 124, 114, 105, 90, 76, 64, 54, 44, 38, 31, 30, 27, 24, 22, 20, 20, 19, 19, 19, 18, 17, 17, 17, 17, 17, 17, 17, 16, 16, 15, 15, 15, 15, 15, 15, 15, 14, 14, 14, 14, 13, 13, 13, 13, 13, 13, 13, 13, 13, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9]"
19,1000,243,2,14,4,1.0,0.6,1.0,"[243, 239, 236, 228, 214, 200, 189, 174, 166, 149, 137, 121, 99, 80, 66, 57, 50, 47, 41, 39, 34, 33, 29, 29, 26, 26, 23, 17, 16, 16, 16, 16, 15, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
20,1000,245,3,16,4,1.0,0.6,1.0,"[245, 244, 244, 228, 223, 215, 209, 201, 174, 145, 118, 99, 85, 77, 64, 53, 42, 36, 35, 34, 33, 32, 30, 28, 27, 27, 25, 25, 25, 25, 24, 24, 24, 21, 20, 19, 19, 18, 18, 17, 17, 17, 17, 16, 16, 15, 15, 15, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
21,1000,250,4,19,4,1.0,0.6,1.0,"[250, 250, 247, 239, 227, 212, 176, 149, 123, 101, 80, 70, 67, 59, 54, 52, 45, 42, 40, 40, 37, 33, 31, 31, 29, 28, 27, 26, 25, 25, 25, 24, 24, 23, 23, 23, 22, 22, 20, 20, 20, 20, 20, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
