runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
52.761,19.600864241150184,50.0,160.218,31.809817289635593,165.0,29.245,15.401200440225416,26.0,8.848,16.037359383639142,2.0
50.774,19.49509999974353,47.0,162.791,31.488685571169853,168.0,27.986,14.997326561757601,25.0,9.447,16.659507525734345,2.0
48.973,19.252019919998002,46.0,165.086,30.885799390658484,170.0,26.648,14.647255579117878,23.0,10.222,17.800020112348225,2.0
47.189,19.025332559511266,44.0,167.113,30.412369703789956,172.5,25.348,14.14718685817077,22.0,11.219,18.99497404578374,3.0
45.168,18.531426712479533,42.0,169.413,30.157593256093907,175.0,24.203,13.911354750706343,21.0,12.012,19.8831550816262,3.0
43.295,18.244012031348806,40.0,171.808,29.821253092383632,177.0,23.035,13.420200259310603,20.0,12.594,19.99327797035804,4.0
41.594,17.898579943671518,38.0,174.239,29.583743491992333,179.0,21.915,12.987061830914625,19.0,12.922,20.22997567966903,4.0
39.779,17.547027070133566,36.0,175.999,29.1661275969231,181.0,20.864,12.550916460561753,18.0,13.955,21.05134140619071,5.0
38.163,17.277338655012766,35.0,177.623,28.727771772276395,183.0,19.667,11.945380320441872,17.0,15.065,21.94617905239996,6.0
36.44,16.837707682460813,33.0,179.155,28.585852707239646,184.0,18.731,11.727004690030578,16.0,16.132,22.99362033260534,6.5
34.956,16.35176027221534,32.0,179.932,28.513599842881998,185.0,17.69,11.302207748931163,15.0,17.811,24.785021262851473,8.0
33.475,15.963438695970215,30.0,180.51,28.837890006032,187.0,16.843,10.882662863472339,14.0,19.497,26.440385606113967,9.0
31.948,15.466198498661532,29.0,181.735,28.915787642739396,188.0,16.202,10.511669515352914,13.0,20.384,27.20901585871858,9.0
30.617,14.996810027469156,27.0,182.544,28.91024150711994,188.5,15.506,10.0761085742463,13.0,21.554,28.076949335709553,10.0
29.312,14.596871445621485,26.0,183.871,29.04121827678721,190.0,14.801,9.634905240841768,12.0,22.187,28.546594035015843,11.0
28.06,14.189728679576643,25.0,184.397,29.3791318966371,191.0,14.066,9.203240950882456,12.0,23.59,29.47673489381073,12.0
26.853,13.800412711219892,23.5,184.527,29.8652853828655,192.0,13.377,8.812654027022745,11.0,25.314,30.642509753608596,13.0
25.675,13.34343939919541,22.5,185.175,30.06856123927444,192.0,12.685,8.409386125039081,11.0,26.492,31.463692345304977,14.0
24.387,12.699418529995786,22.0,185.191,30.58778381968856,193.0,12.085,8.011352882004404,10.0,28.304,32.72362424915676,16.0
23.273,12.279758588832289,20.0,185.23,31.126983470937233,193.0,11.584,7.708757617152066,10.0,29.832,33.50399641833792,18.0
22.262,11.859146512291677,19.0,185.163,31.647028786285624,192.5,11.033,7.419293160402814,9.0,31.435,34.26919571568608,20.0
21.288,11.505957413444568,19.0,184.901,32.34163259639194,192.0,10.527,7.05586784173287,9.0,33.143,35.10690175734684,22.0
20.451,11.014426857535526,18.0,184.739,33.42308901044309,192.5,9.98,6.909240189774856,8.0,34.648,36.248256454621355,23.5
19.614,10.758764055410825,17.0,185.139,34.11638431897493,192.5,9.485,6.36237180617417,8.0,35.538,37.15250403404862,24.0
18.832,10.426493945713492,17.0,185.265,34.76795615218128,193.0,8.968,6.010072878093908,8.0,36.677,37.86120271465234,26.0
18.097,9.976852760264636,16.0,185.267,35.06134211635375,194.0,8.594,5.857061037756045,7.0,37.748,38.183144134552364,26.0
17.4,9.588951976102514,16.0,184.825,35.262960383382385,193.0,8.122,5.664019420870673,7.0,39.323,38.6901624576584,29.0
16.732,9.243169153488425,15.0,184.481,35.12998205237236,192.5,7.75,5.368007078981919,7.0,40.676,38.79501287536839,31.0
16.036,8.859046449816203,14.0,183.853,35.81772453688255,192.0,7.435,5.145655934863896,6.0,42.287,39.6736515964941,32.0
15.415,8.508159319147707,14.0,182.961,37.047772929016936,192.0,7.134,4.843969859526354,6.0,44.074,41.21189784516113,33.0
14.772,8.04798210733598,13.0,182.034,38.144499524833186,192.0,6.786,4.511563365397847,6.0,45.973,42.29870294701725,35.0
14.136,7.678769693121404,13.0,181.343,38.82096535378788,190.5,6.52,4.357705818432445,6.0,47.547,42.928240017499,37.0
13.578,7.398237357641344,12.0,180.055,39.948040940701986,191.0,6.285,4.253912904609127,5.0,49.606,43.996758562421384,39.0
13.119,7.165112629959128,12.0,178.842,41.3222825603814,190.0,5.958,4.101248102712156,5.0,51.582,45.383182744272126,40.0
12.603,6.884140541854156,11.0,178.192,41.36325828558483,189.0,5.685,3.9924647775528324,5.0,53.004,45.442512958682265,41.0
12.081,6.659312201721735,11.0,176.674,42.73288808400379,188.0,5.491,3.866771133646276,5.0,55.218,46.64033100225596,43.0
11.64,6.414857753684021,11.0,175.228,43.58295556751516,186.5,5.268,3.7059649215825297,4.0,57.305,47.45338739226107,45.0
11.223,6.254699912865512,10.0,174.235,44.441014558625895,184.0,5.064,3.6331672133277815,4.0,58.901,48.20828973319837,48.0
10.798,6.072495039108718,10.0,172.69,45.116581209129784,182.0,4.874,3.5950137690974207,4.0,61.043,48.878759712169455,49.5
10.372,5.895389384934652,9.0,171.034,46.4957293092602,181.5,4.748,3.5237048684587604,4.0,63.234,50.21570714427907,51.0
9.926,5.650533072197699,9.0,169.538,47.515161327727846,180.0,4.589,3.468152101624161,4.0,65.32,51.15352969248555,55.0
9.52,5.411801918030624,8.0,168.248,48.051872970780224,179.0,4.421,3.3214091888835378,4.0,67.167,51.61062982564733,57.0
9.172,5.211949347413123,8.0,166.878,48.532310021263164,178.0,4.227,3.2120820350669743,3.0,69.069,52.07673414299329,58.0
8.816,5.010603157305515,8.0,164.656,49.3896513856901,175.0,4.052,3.0661532903623727,3.0,71.812,52.81689744769184,62.0
8.508,4.873390606138606,8.0,163.175,50.21370704299778,173.0,3.855,2.9236920152437422,3.0,73.777,53.568976758941375,65.0
8.182,4.703921342879791,7.0,162.053,50.748282640893315,172.0,3.73,2.863407061526546,3.0,75.334,54.05334812941749,66.0
7.849,4.530143375214515,7.0,160.944,51.336525632340944,169.0,3.612,2.8216052168933925,3.0,76.876,54.605170304651516,68.0
7.546,4.385645220489227,7.0,159.484,52.13789163362859,168.0,3.412,2.7262164257446617,3.0,78.824,55.387841842772715,71.0
7.27,4.317765625876413,6.0,157.519,53.15134653985731,166.5,3.26,2.5393700006103876,3.0,81.202,56.27652437739912,72.0
6.994,4.150899179695894,6.0,155.637,53.835743061650035,165.0,3.157,2.5076584695687667,3.0,83.448,56.91463165127219,74.0
6.701,4.036037536990927,6.0,153.633,55.021980253349675,163.5,3.044,2.4191039663478695,3.0,85.841,57.96446945327799,76.0
6.47,3.9256973902734815,6.0,151.036,56.235724446298406,161.0,2.923,2.357344056348162,2.0,88.778,59.23553592228231,79.0
6.206,3.798100051341462,5.0,147.994,57.517927327051744,156.0,2.786,2.276006151134048,2.0,92.207,60.477898037216825,84.0
5.987,3.6729866593822487,5.0,145.058,57.459991611555274,151.0,2.64,2.2177466041006584,2.0,95.499,60.35282925431089,89.5
5.722,3.5660504763673813,5.0,142.623,57.90479143387013,149.0,2.582,2.211170730631178,2.0,98.244,60.69133763561319,92.0
5.486,3.462340826666251,5.0,140.724,58.189258665152266,147.0,2.491,2.1995269946058995,2.0,100.458,60.93888935646923,96.0
5.274,3.408947638201555,5.0,138.076,59.25782837735447,144.0,2.41,2.1184664264509867,2.0,103.389,62.03047379312852,97.0
5.101,3.297999241964733,5.0,134.485,60.135744570097394,140.5,2.282,2.093436409351867,2.0,107.27,62.913981752866306,101.0
4.948,3.246120145650805,4.0,131.575,61.415913043770765,137.0,2.177,2.0267390063843975,2.0,110.432,64.09436305947665,106.0
4.75,3.169463677028024,4.0,129.676,62.298354906048694,135.0,2.12,1.9436048981210088,2.0,112.574,64.89747702337894,109.0
4.598,3.0864860278316515,4.0,128.224,62.923666644594086,134.0,2.028,1.8738238978089603,2.0,114.266,65.39753239993084,109.5
4.382,2.962444261079011,4.0,125.827,63.44560718442221,132.5,1.991,1.8689352583757588,2.0,116.905,65.92080077638622,111.5
4.247,2.923694751508783,4.0,123.701,64.3363163306697,129.0,1.901,1.7541946870287788,2.0,119.251,66.76936422491984,114.0
4.069,2.80860089724404,4.0,122.033,65.45835249225262,127.0,1.841,1.7469169986006805,1.0,121.152,67.80096530286282,116.0
3.922,2.726887603110906,3.0,119.957,65.44991330017176,125.0,1.754,1.7010243972383245,1.0,123.454,67.75243083462021,118.0
3.767,2.707528577873184,3.0,118.112,65.46186260716995,125.0,1.712,1.6604384963015077,1.0,125.489,67.73420021672953,119.0
3.631,2.6425061967760852,3.0,115.735,65.58755045738486,118.5,1.663,1.6289355420028189,1.0,128.044,67.85235488912669,126.5
3.515,2.6244570867133588,3.0,114.134,65.85008765370024,117.0,1.598,1.527873031374003,1.0,129.821,68.06569590476549,129.5
3.381,2.5545721755315545,3.0,112.324,65.50003835113384,113.5,1.547,1.4831692418601483,1.0,131.81,67.66165753216517,133.0
3.247,2.480320745387582,3.0,109.478,65.77605579540318,111.0,1.481,1.4517709874494702,1.0,134.851,67.88571866747823,134.0
3.143,2.4348615977094026,3.0,106.753,65.99824233265612,106.0,1.421,1.4462914644012808,1.0,137.734,68.13390671317768,139.0
3.043,2.3793173390701763,3.0,104.337,66.11534943566434,103.0,1.341,1.3684732368592483,1.0,140.327,68.18674410030147,143.0
2.924,2.316942813277872,3.0,102.193,66.06823556747977,100.0,1.279,1.3591022772403947,1.0,142.642,68.09356677396187,144.5
2.803,2.267198932603841,2.0,98.896,66.43683604748203,96.0,1.234,1.3598691113485906,1.0,146.1,68.4424137505391,147.5
2.686,2.198955206456009,2.0,96.427,66.36900384215517,94.0,1.178,1.3402671375513275,1.0,148.736,68.35468019089842,152.5
2.562,2.1373244957188886,2.0,93.765,66.77099501280486,89.5,1.158,1.3065358778081753,1.0,151.537,68.7304490819026,154.0
2.495,2.1189561109187736,2.0,91.204,66.6009788516655,89.0,1.095,1.283734785693676,1.0,154.224,68.53378600369308,156.5
2.379,2.054594607215739,2.0,88.615,66.41020083541378,83.0,1.093,1.2697838398719745,1.0,156.924,68.27062489826791,161.5
2.292,1.992168667558046,2.0,86.31,65.80098707466325,81.0,1.046,1.2328357554840732,1.0,159.359,67.61215954989163,165.0
2.206,1.9772617429161954,2.0,84.611,65.90289583167043,78.0,1.003,1.1785546232568063,1.0,161.176,67.64205070812093,167.0
2.12,1.9312172327317265,2.0,82.142,65.50645644514746,76.5,0.943,1.118816785716052,1.0,163.785,67.17111563015756,170.0
2.036,1.8901597816057747,2.0,80.052,64.9695105107003,72.0,0.896,1.0877426166147892,1.0,166.002,66.6056453763493,174.0
1.978,1.8383459957255035,2.0,78.181,64.31160267789951,71.0,0.856,1.0607846152730565,1.0,167.967,65.94529483594717,174.5
1.911,1.8063994574844138,1.0,75.538,63.666934557900674,68.0,0.825,1.0268276388956386,1.0,170.705,65.31583249871355,177.5
1.826,1.764574736303337,1.0,74.012,63.60691673080836,65.0,0.824,1.0358687175506398,1.0,172.316,65.24621172144784,182.0
1.753,1.715806224490401,1.0,71.733,63.44118308323064,63.0,0.786,0.9981001953711844,1.0,174.701,65.0075349401898,185.0
1.684,1.6607660882857687,1.0,69.86,62.98779564328324,59.5,0.762,0.9946637622835194,0.0,176.662,64.50151747052149,188.0
1.606,1.6151668644446715,1.0,67.386,62.84499187683945,52.5,0.754,0.9987412077210042,0.0,179.22,64.34839236531086,195.0
1.549,1.583540021597181,1.0,65.407,62.378693085058984,48.0,0.716,0.9784395740156826,0.0,181.292,63.80969155230261,198.0
1.498,1.5485464151907093,1.0,63.714,61.388485923664724,46.5,0.695,0.9695230786319654,0.0,183.052,62.7971440114915,201.0
1.465,1.526032437400982,1.0,62.341,61.139076857603825,45.5,0.654,0.90569531300543,0.0,184.498,62.479004441492215,201.5
1.408,1.4971760083570653,1.0,60.605,61.13642919732878,42.0,0.625,0.8777100888106505,0.0,186.32,62.441937830275585,205.0
1.357,1.4592981189599348,1.0,58.949,60.76994651141294,40.5,0.576,0.836793881430782,0.0,188.07,62.00370230881381,206.0
1.305,1.428276933931231,1.0,56.099,60.5011503940214,37.0,0.551,0.8169449185838629,0.0,190.994,61.745493471183806,210.0
1.27,1.4082258341615486,1.0,54.695,59.52488534218279,36.0,0.52,0.7833262411026427,0.0,192.462,60.78016581089591,212.0
1.223,1.394729722921255,1.0,53.157,59.69484358803517,30.0,0.501,0.7784593759471297,0.0,194.065,60.91716322187029,217.0
1.179,1.3442317508525121,1.0,52.076,59.533790606679716,27.5,0.488,0.7757937870336405,0.0,195.199,60.69824873091474,218.5
1.128,1.3159088114303412,1.0,50.346,58.4456523960507,25.5,0.482,0.7756777681486038,0.0,196.986,59.58497968448085,221.5
1.096,1.3026066175173456,1.0,48.629,57.578896819928886,24.0,0.451,0.7399993243240156,0.0,198.765,58.66847343335256,224.0
1.062,1.2884704109912721,1.0,46.261,56.10407185757543,21.0,0.432,0.7038295248140692,0.0,201.182,57.19191268002849,226.0
1.016,1.253692147219563,1.0,44.096,55.08770084147646,19.0,0.422,0.7140840286689006,0.0,203.402,56.17165117744019,228.0
0.97,1.2153600289626159,1.0,43.117,54.435662125118085,17.0,0.407,0.6952344928151905,0.0,204.441,55.499085749226545,231.0
0.926,1.165557377395038,1.0,41.719,54.00857375454391,14.5,0.381,0.658664558026308,0.0,205.908,55.00486829363383,232.5
0.891,1.130096898500306,1.0,39.357,52.33464962145063,11.0,0.36,0.6264183905346334,0.0,208.325,53.31372595307893,236.0
0.852,1.102767427883139,1.0,38.013,51.77631534785001,11.0,0.353,0.6327645691724559,0.0,209.712,52.73112037497397,237.0
0.814,1.0636747623216396,1.0,36.633,51.010021672216496,8.5,0.332,0.63857341003208,0.0,211.149,51.9431689349043,239.0
0.787,1.0552871647092124,0.0,34.563,49.55467718591252,7.0,0.319,0.6270877131630022,0.0,213.257,50.476617864116115,240.0
0.743,1.0064546686264664,0.0,33.257,48.25487489363136,5.0,0.321,0.6260662904197946,0.0,214.604,49.15476766296431,242.0
0.723,0.9941182022274849,0.0,32.364,47.58129363520893,5.0,0.311,0.6085055464003594,0.0,215.526,48.47314023250399,243.0
0.681,0.9691434362363477,0.0,32.009,47.48354366514789,4.5,0.317,0.6020888638731005,0.0,215.914,48.389509234957025,243.0
0.66,0.9393614852653921,0.0,31.314,47.390963315805216,4.0,0.291,0.5641976603992573,0.0,216.656,48.25307932142777,244.0
0.644,0.9387566244772904,0.0,30.031,46.30537807857735,2.0,0.265,0.5392355700433683,0.0,217.979,47.1557054766441,245.0
0.63,0.9236341266973572,0.0,28.477,45.39265877870579,1.0,0.238,0.5112298895800245,0.0,219.571,46.232185314994446,245.0
0.604,0.8815803990561549,0.0,27.33,44.74524667492618,0.0,0.233,0.5222173876844788,0.0,220.747,45.56530468459527,246.0
0.572,0.8560467276965613,0.0,26.493,43.895397833941786,0.0,0.239,0.5290359156049771,0.0,221.61,44.74639538555027,246.0
0.548,0.8316826317772842,0.0,26.012,43.79159572338053,0.0,0.234,0.5150184462715861,0.0,222.118,44.62521793784322,246.0
0.517,0.8035614475570653,0.0,25.785,43.714400087385435,0.0,0.24,0.5180733538795456,0.0,222.369,44.50108806534956,246.0
0.506,0.8024736755807006,0.0,24.931,42.85720755018915,0.0,0.22,0.4975942121849845,0.0,223.254,43.62743957648677,246.0
0.501,0.7962405415450747,0.0,23.73,42.02571950603591,0.0,0.204,0.46945074289003097,0.0,224.476,42.768556487213814,247.0
0.481,0.7833511345495063,0.0,22.969,40.76861585827975,0.0,0.198,0.4525439205204316,0.0,225.262,41.51150871746295,247.0
0.457,0.7603624135897266,0.0,22.064,39.84381889327398,0.0,0.199,0.45099778269965185,0.0,226.189,40.55563190236338,247.0
0.432,0.7505837728062087,0.0,21.225,39.2557304733973,0.0,0.196,0.45998260836688426,0.0,227.055,39.97254026203485,247.0
0.422,0.7429104925897917,0.0,20.222,38.81662937453488,0.0,0.185,0.4390614991091777,0.0,228.079,39.51896707911282,247.0
0.401,0.7226333786921278,0.0,19.595,38.27924992734333,0.0,0.176,0.4347689041318413,0.0,228.735,38.915482458784965,247.0
0.389,0.7082930184605772,0.0,18.578,37.3533922957474,0.0,0.166,0.42478700545096976,0.0,229.774,37.952482448451185,247.0
0.378,0.6936252590556344,0.0,17.963,36.4177927804529,0.0,0.155,0.42305437002824736,0.0,230.411,36.97566874310723,247.0
0.369,0.6788512355442865,0.0,17.446,36.09569342733264,0.0,0.143,0.41539258539362783,0.0,230.949,36.65733758744625,247.0
0.35,0.6523036102920202,0.0,16.894,35.387918333804585,0.0,0.147,0.42824175415295695,0.0,231.516,35.953076975413445,248.0
0.338,0.6322626036703413,0.0,16.48,34.81547931595948,0.0,0.142,0.4121116353610968,0.0,231.946,35.36909786805412,248.0
0.314,0.6077861466009187,0.0,15.883,34.32318911464944,0.0,0.147,0.4164024495605197,0.0,232.56,34.89143734499903,248.0
0.304,0.5946292962846692,0.0,15.109,33.700699087704386,0.0,0.137,0.397782603943411,0.0,233.354,34.30980448793025,248.0
0.295,0.5813561730987292,0.0,14.545,33.08401388888585,0.0,0.132,0.39569685366452134,0.0,233.932,33.68981116005252,248.0
