evolution$generation,randomDensity,expMixtureCenters,expMixtureRadius,expMixtureThreshold,blocksNumber,blocksMinSize,blocksMaxSize,percolationProba,percolationBordPoints,percolationLinkWidth,oppFinalHumans,finalZombies,evolution$samples
5000,0.6150431769726059,7.227843042789333,17.147418692812472,0.9070219865228024,5.404613502062658,6.352982741057293,9.762858488052117,0.25613092487821365,3.699283650826296,5.0,-40.0,160.0,1
5000,1.0,1.0,12.773843081216157,1.0,19.329254671127078,8.244459479996497,21.118809637274545,0.5077398746429832,18.561086619509293,4.241668162962872,-15.0,31.0,1
5000,0.9927921144600486,6.274860828680016,20.0,1.0,8.837190623451818,5.428958877988513,14.195126121960419,0.9,11.89384287989068,4.651072335251422,-4.0,108.0,3
5000,1.0,5.5930124771082905,15.92596636272118,0.9759446265963898,8.292380651937798,4.3354236131191,14.491825969911707,0.5237587372753509,19.63809772247145,3.1248134813113855,-12.0,162.5,2
5000,0.0,8.423274837955763,4.258566791765768,1.0,12.849992458475702,9.744399307433808,27.502906805157203,0.10814130381980099,1.0,5.0,-29.0,45.0,1
5000,0.9914584044298399,10.0,10.851659773799023,1.0,6.847626015155051,1.0,9.859677117666582,0.13873520995976868,11.894667624807374,2.071760441047331,-1.0,82.0,4
5000,0.26925221286019413,10.0,1.8394441212076265,0.42208481400867875,1.0,5.980713243019899,13.1369598755307,0.5912931891396473,9.114377206010257,4.697692676681356,-0.5,158.5,16
5000,0.88325162190484,8.914069735929436,10.81328673095867,0.4104663929217196,10.085161281472624,7.319008698662394,2.0,0.6735114648334349,1.0,2.5442356526286924,-8.0,145.0,3
5000,0.0,6.578060234221575,19.954497275283636,0.36416986592318784,1.0,2.3430850307098545,30.0,0.8827996889491552,8.48369025947811,1.3796595329677004,-5.0,149.0,4
5000,0.3536262356724333,4.438585983177491,7.240643458406699,0.0,16.525578420018,3.410416011040075,29.422201980092773,0.7872797697001809,9.210986844857453,2.27916121095264,-8.0,53.5,2
5000,0.217819601411385,1.0,3.4331671720822845,0.9928752652489731,15.468919097031883,2.272616209337021,18.524423833730502,0.8215498981199885,8.732914579445897,3.7152878260616884,-1.0,146.5,14
5000,0.9926168965918728,6.209700248868556,20.0,1.0,8.767873651990675,5.375789144148427,14.189669122281726,0.9,11.894241025498083,4.728671661835152,0.0,175.0,79
5000,0.38057423731953127,1.0,1.0,1.0,4.0661398742736665,6.226928117593415,3.659776272139548,0.9,3.0962400903036134,4.347030811591715,0.0,174.0,53
5000,0.4527592595008303,4.205415689218229,1.7206106545249211,0.3732614630622215,19.79905785188399,2.2617260476552232,13.043026080560962,0.7760008881857771,7.318728851949202,1.3235356428242955,0.0,183.0,100
5000,0.39968025467262697,4.258888508821775,5.699378465976007,0.0,18.336237978621895,1.0,25.037881105528115,0.7399030079819086,8.188545976122503,1.6873905699561949,0.0,180.0,83
5000,0.0,10.0,2.192521183618892,0.0,10.323270303752397,1.9450921440831963,5.674821195317555,0.6349524714645446,5.106607842512627,2.559108831225738,-15.0,166.0,3
5000,0.6035899582105901,7.034991672561082,17.129081799021087,0.8192847306573985,5.202668715425256,6.219173295775256,9.625694025969555,0.22270202852428847,3.5697924262925764,5.0,-1.0,191.0,27
5000,0.740124624545953,9.473322693799277,13.282905182920477,0.44276057581532513,10.377074929420811,5.4504696930224075,19.001378996149384,0.9,10.777375732877568,1.0,-11.5,57.5,2
5000,0.6977108940328134,4.121221426292594,20.0,0.9915271299843789,20.0,3.5660411033148414,30.0,0.8681624162031347,20.0,5.0,0.0,165.5,24
5000,1.0,6.253756727462355,19.816057217942213,1.0,9.237034796816566,5.493501008870592,13.30174237870963,0.9,11.96108541962141,4.99892089110679,0.0,152.5,20
5000,0.984998038120701,1.5202360949677751,9.081360159804687,0.9266230482936127,19.93199376853009,10.0,2.0,0.8546445156010477,5.883158197845609,4.983281281183396,-1.0,167.0,23
5000,0.7289358783171255,8.06948299047491,18.79026430114829,0.39555170595824907,16.345569356792396,2.8296775959137657,10.94182957514597,0.23126448696826096,17.29228039392007,2.8525282008775372,-0.5,189.5,24
5000,0.9847646589987482,4.9503645964252865,12.928384423979836,0.9788569078637963,10.492163943982424,4.693836240455964,14.350205766898291,0.5302157537378469,18.58634933782544,3.3016019098868803,0.0,169.0,29
5000,0.4526167787923112,4.880860163112658,6.119381593073602,0.008817840835587128,18.622702943113417,1.3312933050107618,30.0,0.8038408671354675,9.966855968502221,2.5555756896016333,-4.0,140.0,5
5000,0.0,1.0,1.0,1.0,3.2769170007568853,5.9243334421693215,2.3804060219312952,0.9,1.0,5.0,-1.5,116.0,10
